# Lindstrom Triangulation
# disp_scale=1.000000, disp_offset=0.000000mm
# anchor_mode=0, anchor_threshold=30.000000mm
# id x_orig y_orig z_orig x_target y_target z_target movement_mm is_anchor
1107 0.375000 5.507260 0.875000 0.381246 5.487499 0.865797 22.676075 0
1108 0.125000 5.625000 0.674725 0.126500 5.587267 0.669799 38.083130 0
1109 0.125000 5.570870 0.875000 0.126424 5.568888 0.874424 2.507056 0
1111 0.125000 5.542260 1.125000 0.125547 5.587850 1.134821 46.638857 0
1118 0.192185 5.875000 0.375000 0.192452 5.884715 0.375703 9.744210 0
1121 0.375000 5.785700 0.625000 0.379628 5.738748 0.616315 47.971992 0
1122 0.125000 5.639990 0.625000 0.126985 5.628215 0.623333 12.056414 0
1126 0.125000 5.875000 1.485410 0.125539 5.875072 1.485459 0.546166 0
1129 0.192185 5.875000 0.375000 0.192190 5.917725 0.377951 42.826382 0
1135 0.125000 6.054230 1.625000 0.125461 6.035116 1.619758 19.825569 0
1201 0.244593 7.875000 0.375000 0.242694 7.906310 0.376763 31.416607 0
1214 0.625000 4.625000 2.458830 0.624345 4.615776 2.454020 10.423578 0
1218 0.625000 4.875000 2.507040 0.627760 4.892819 2.516621 20.419383 0
1220 0.625000 5.042230 2.375000 0.627185 5.060329 2.384591 20.599622 0
1221 0.625000 5.125000 2.259010 0.627048 5.147388 2.270552 25.271052 0
1223 0.401276 5.625000 0.875000 0.404798 5.611469 0.869738 14.939095 0
1249 0.625000 7.097670 0.625000 0.624446 7.084396 0.623845 13.336134 0
1250 0.606598 7.125000 0.625000 0.607682 7.090669 0.621132 34.565465 0
1251 0.625000 7.125000 0.565835 0.624255 7.132844 0.567082 7.977682 0
1252 0.625000 6.995780 0.875000 0.625867 6.982482 0.872415 13.574724 0
1253 0.493210 7.125000 0.875000 0.494204 7.113169 0.873226 12.004071 0
1256 0.625000 7.176660 0.375000 0.625094 7.188588 0.376036 11.972759 0
1259 0.493210 7.125000 0.875000 0.494204 7.113169 0.873226 12.004071 0
1262 0.625000 7.170770 1.375000 0.625572 7.173469 1.375716 2.850335 0
1263 0.542015 7.375000 1.375000 0.541669 7.355599 1.371140 19.784359 0
1264 0.625000 7.375000 1.578730 0.625042 7.360421 1.575208 14.998828 0
1275 0.875000 5.125000 2.322030 0.875595 5.122029 2.320204 3.537278 0
1276 0.875000 5.046860 2.375000 0.876243 5.053104 2.378691 7.358970 0
1282 0.663459 7.125000 0.625000 0.663938 7.108417 0.622865 16.727030 0
1283 0.875000 7.125000 0.844723 0.875576 7.125940 0.844863 1.111759 0
1284 0.875000 7.094380 0.875000 0.875750 7.087292 0.872854 7.443686 0
1285 0.759705 7.125000 1.125000 0.760648 7.116854 1.122617 8.539654 0
1286 0.875000 7.067270 1.125000 0.872211 7.026551 1.117829 41.439434 0
1288 0.875000 7.366670 0.375000 0.877588 7.414322 0.378527 47.852826 0
1289 0.875000 7.267550 0.625000 0.875388 7.274295 0.626233 6.867311 0
1297 1.125000 4.625000 2.519630 1.117545 4.591355 2.500685 39.325317 0
1299 1.125000 4.965150 2.375000 1.135351 5.011172 2.398607 52.748917 0
1304 0.889105 7.125000 0.875000 0.889279 7.118340 0.874299 6.698633 0
1306 0.878540 7.375000 0.375000 0.880805 7.414190 0.377893 39.361644 0
1307 0.942943 7.375000 0.625000 0.943265 7.357966 0.622273 17.253760 0
